This job can be monitored from: https://job.c3se.chalmers.se/alvis/3967338
>>> Training with SGD
┏━━━━━━━━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┳━━━━━━━╸T-E-S-T╺━━━━━━━┓
┃              ┃              ╷              ┃             ╷         ┃
┃       epoch  ┃        loss  │    accuracy  ┃       loss  │accuracy ┃
┠──────────────╂──────────────┼──────────────╂─────────────┼─────────┨
┃           0  ┃      0.0160  │     24.14 %  ┃      0.0000 │      0.00 %┃
┃           0  ┃      0.0160  │     24.14 %  ┃      0.0155 │     25.35 %┃
┃           1  ┃      0.0143  │     33.74 %  ┃      0.0155 │     25.35 %┃
┃           1  ┃      0.0143  │     33.74 %  ┃      0.0137 │     34.67 %┃
┃           2  ┃      0.0123  │     43.38 %  ┃      0.0137 │     34.67 %┃
┃           2  ┃      0.0123  │     43.38 %  ┃      0.0119 │     44.53 %┃
┃           3  ┃      0.0106  │     51.10 %  ┃      0.0119 │     44.53 %┃
┃           3  ┃      0.0106  │     51.10 %  ┃      0.0107 │     51.70 %┃
┃           4  ┃      0.0095  │     55.84 %  ┃      0.0107 │     51.70 %┃
┃           4  ┃      0.0095  │     55.84 %  ┃      0.0094 │     56.65 %┃
┃           5  ┃      0.0088  │     60.68 %  ┃      0.0094 │     56.65 %┃
┃           5  ┃      0.0088  │     60.68 %  ┃      0.0084 │     62.88 %┃
┃           6  ┃      0.0083  │     62.64 %  ┃      0.0084 │     62.88 %┃
┃           6  ┃      0.0083  │     62.64 %  ┃      0.0089 │     62.50 %┃
┃           7  ┃      0.0065  │     71.36 %  ┃      0.0089 │     62.50 %┃
┃           7  ┃      0.0065  │     71.36 %  ┃      0.0067 │     71.38 %┃
┃           8  ┃      0.0064  │     71.82 %  ┃      0.0067 │     71.38 %┃
┃           8  ┃      0.0064  │     71.82 %  ┃      0.0063 │     72.25 %┃
┃           9  ┃      0.0055  │     75.46 %  ┃      0.0063 │     72.25 %┃
┃           9  ┃      0.0055  │     75.46 %  ┃      0.0055 │     76.44 %┃
┃          10  ┃      0.0079  │     67.44 %  ┃      0.0055 │     76.44 %┃
┃          10  ┃      0.0079  │     67.44 %  ┃      0.0085 │     67.23 %┃
┃          11  ┃      0.0064  │     72.22 %  ┃      0.0085 │     67.23 %┃
┃          11  ┃      0.0064  │     72.22 %  ┃      0.0064 │     73.32 %┃
┃          12  ┃      0.0049  │     78.76 %  ┃      0.0064 │     73.32 %┃
┃          12  ┃      0.0049  │     78.76 %  ┃      0.0053 │     77.79 %┃
┃          13  ┃      0.0062  │     72.66 %  ┃      0.0053 │     77.79 %┃
┃          13  ┃      0.0062  │     72.66 %  ┃      0.0063 │     73.68 %┃
┃          14  ┃      0.0044  │     81.18 %  ┃      0.0063 │     73.68 %┃
┃          14  ┃      0.0044  │     81.18 %  ┃      0.0045 │     80.24 %┃
┃          15  ┃      0.0049  │     78.38 %  ┃      0.0045 │     80.24 %┃
┃          15  ┃      0.0049  │     78.38 %  ┃      0.0047 │     80.15 %┃
┃          16  ┃      0.0051  │     78.24 %  ┃      0.0047 │     80.15 %┃
┃          16  ┃      0.0051  │     78.24 %  ┃      0.0054 │     77.49 %┃
┃          17  ┃      0.0059  │     74.74 %  ┃      0.0054 │     77.49 %┃
┃          17  ┃      0.0059  │     74.74 %  ┃      0.0060 │     75.12 %┃
┃          18  ┃      0.0046  │     80.64 %  ┃      0.0060 │     75.12 %┃
┃          18  ┃      0.0046  │     80.64 %  ┃      0.0045 │     81.34 %┃
┃          19  ┃      0.0047  │     80.08 %  ┃      0.0045 │     81.34 %┃
┃          19  ┃      0.0047  │     80.08 %  ┃      0.0051 │     80.14 %┃
┃          20  ┃      0.0043  │     80.78 %  ┃      0.0051 │     80.14 %┃
┃          20  ┃      0.0043  │     80.78 %  ┃      0.0046 │     80.93 %┃
┃          21  ┃      0.0043  │     81.42 %  ┃      0.0046 │     80.93 %┃
┃          21  ┃      0.0043  │     81.42 %  ┃      0.0042 │     81.77 %┃
┃          22  ┃      0.0045  │     79.96 %  ┃      0.0042 │     81.77 %┃
┃          22  ┃      0.0045  │     79.96 %  ┃      0.0050 │     78.93 %┃
┃          23  ┃      0.0045  │     81.44 %  ┃      0.0050 │     78.93 %┃
┃          23  ┃      0.0045  │     81.44 %  ┃      0.0049 │     80.46 %┃
┃          24  ┃      0.0054  │     76.52 %  ┃      0.0049 │     80.46 %┃
┃          24  ┃      0.0054  │     76.52 %  ┃      0.0055 │     77.53 %┃
┃          25  ┃      0.0054  │     78.18 %  ┃      0.0055 │     77.53 %┃
┃          25  ┃      0.0054  │     78.18 %  ┃      0.0052 │     79.23 %┃
┃          26  ┃      0.0061  │     77.26 %  ┃      0.0052 │     79.23 %┃
┃          26  ┃      0.0061  │     77.26 %  ┃      0.0065 │     76.69 %┃
┃          27  ┃      0.0037  │     83.44 %  ┃      0.0065 │     76.69 %┃
┃          27  ┃      0.0037  │     83.44 %  ┃      0.0037 │     83.96 %┃
┃          28  ┃      0.0049  │     78.28 %  ┃      0.0037 │     83.96 %┃
┃          28  ┃      0.0049  │     78.28 %  ┃      0.0054 │     78.10 %┃
┃          29  ┃      0.0041  │     81.74 %  ┃      0.0054 │     78.10 %┃
┃          29  ┃      0.0041  │     81.74 %  ┃      0.0040 │     83.20 %┃
┃          30  ┃      0.0023  │     89.60 %  ┃      0.0040 │     83.20 %┃
┃          30  ┃      0.0023  │     89.60 %  ┃      0.0023 │     90.01 %┃
┃          31  ┃      0.0022  │     90.32 %  ┃      0.0023 │     90.01 %┃
┃          31  ┃      0.0022  │     90.32 %  ┃      0.0022 │     90.67 %┃
┃          32  ┃      0.0021  │     90.58 %  ┃      0.0022 │     90.67 %┃
┃          32  ┃      0.0021  │     90.58 %  ┃      0.0020 │     91.67 %┃
┃          33  ┃      0.0021  │     90.48 %  ┃      0.0020 │     91.67 %┃
┃          33  ┃      0.0021  │     90.48 %  ┃      0.0021 │     91.21 %┃
┃          34  ┃      0.0021  │     90.82 %  ┃      0.0021 │     91.21 %┃
┃          34  ┃      0.0021  │     90.82 %  ┃      0.0021 │     91.14 %┃
┃          35  ┃      0.0020  │     91.44 %  ┃      0.0021 │     91.14 %┃
┃          35  ┃      0.0020  │     91.44 %  ┃      0.0021 │     91.44 %┃
┃          36  ┃      0.0022  │     89.96 %  ┃      0.0021 │     91.44 %┃
┃          36  ┃      0.0022  │     89.96 %  ┃      0.0022 │     90.89 %┃
┃          37  ┃      0.0022  │     90.64 %  ┃      0.0022 │     90.89 %┃
┃          37  ┃      0.0022  │     90.64 %  ┃      0.0025 │     90.00 %┃
┃          38  ┃      0.0022  │     91.00 %  ┃      0.0025 │     90.00 %┃
┃          38  ┃      0.0022  │     91.00 %  ┃      0.0022 │     90.98 %┃
┃          39  ┃      0.0022  │     90.62 %  ┃      0.0022 │     90.98 %┃
┃          39  ┃      0.0022  │     90.62 %  ┃      0.0023 │     91.01 %┃
┃          40  ┃      0.0023  │     90.70 %  ┃      0.0023 │     91.01 %┃
┃          40  ┃      0.0023  │     90.70 %  ┃      0.0023 │     90.53 %┃
┃          41  ┃      0.0026  │     88.98 %  ┃      0.0023 │     90.53 %┃
┃          41  ┃      0.0026  │     88.98 %  ┃      0.0027 │     89.24 %┃
┃          42  ┃      0.0026  │     89.06 %  ┃      0.0027 │     89.24 %┃
┃          42  ┃      0.0026  │     89.06 %  ┃      0.0028 │     89.04 %┃
┃          43  ┃      0.0025  │     89.46 %  ┃      0.0028 │     89.04 %┃
┃          43  ┃      0.0025  │     89.46 %  ┃      0.0027 │     89.83 %┃
┃          44  ┃      0.0025  │     90.06 %  ┃      0.0027 │     89.83 %┃
┃          44  ┃      0.0025  │     90.06 %  ┃      0.0025 │     90.00 %┃
┃          45  ┃      0.0025  │     89.80 %  ┃      0.0025 │     90.00 %┃
┃          45  ┃      0.0025  │     89.80 %  ┃      0.0027 │     89.71 %┃
┃          46  ┃      0.0026  │     89.74 %  ┃      0.0027 │     89.71 %┃
┃          46  ┃      0.0026  │     89.74 %  ┃      0.0031 │     88.61 %┃
┃          47  ┃      0.0027  │     88.40 %  ┃      0.0031 │     88.61 %┃
┃          47  ┃      0.0027  │     88.40 %  ┃      0.0029 │     88.89 %┃
┃          48  ┃      0.0026  │     89.14 %  ┃      0.0029 │     88.89 %┃
┃          48  ┃      0.0026  │     89.14 %  ┃      0.0029 │     89.06 %┃
┃          49  ┃      0.0026  │     89.26 %  ┃      0.0029 │     89.06 %┃
┃          49  ┃      0.0026  │     89.26 %  ┃      0.0026 │     90.07 %┃
┃          50  ┃      0.0026  │     88.78 %  ┃      0.0026 │     90.07 %┃
┃          50  ┃      0.0026  │     88.78 %  ┃      0.0027 │     89.32 %┃
┃          51  ┃      0.0025  │     89.72 %  ┃      0.0027 │     89.32 %┃
┃          51  ┃      0.0025  │     89.72 %  ┃      0.0027 │     89.83 %┃
┃          52  ┃      0.0024  │     89.48 %  ┃      0.0027 │     89.83 %┃
┃          52  ┃      0.0024  │     89.48 %  ┃      0.0027 │     89.73 %┃
┃          53  ┃      0.0027  │     88.98 %  ┃      0.0027 │     89.73 %┃
┃          53  ┃      0.0027  │     88.98 %  ┃      0.0029 │     89.43 %┃
┃          54  ┃      0.0025  │     89.76 %  ┃      0.0029 │     89.43 %┃
┃          54  ┃      0.0025  │     89.76 %  ┃      0.0026 │     90.08 %┃
┃          55  ┃      0.0025  │     90.00 %  ┃      0.0026 │     90.08 %┃
┃          55  ┃      0.0025  │     90.00 %  ┃      0.0025 │     89.83 %┃
┃          56  ┃      0.0030  │     87.78 %  ┃      0.0025 │     89.83 %┃
┃          56  ┃      0.0030  │     87.78 %  ┃      0.0029 │     88.99 %┃
┃          57  ┃      0.0025  │     89.60 %  ┃      0.0029 │     88.99 %┃
┃          57  ┃      0.0025  │     89.60 %  ┃      0.0028 │     89.17 %┃
┃          58  ┃      0.0025  │     89.54 %  ┃      0.0028 │     89.17 %┃
┃          58  ┃      0.0025  │     89.54 %  ┃      0.0027 │     90.04 %┃
┃          59  ┃      0.0030  │     88.04 %  ┃      0.0027 │     90.04 %┃
┃          59  ┃      0.0030  │     88.04 %  ┃      0.0032 │     88.38 %┃
┃          60  ┃      0.0017  │     93.24 %  ┃      0.0032 │     88.38 %┃
┃          60  ┃      0.0017  │     93.24 %  ┃      0.0019 │     92.87 %┃
┃          61  ┃      0.0017  │     93.32 %  ┃      0.0019 │     92.87 %┃
┃          61  ┃      0.0017  │     93.32 %  ┃      0.0018 │     93.17 %┃
┃          62  ┃      0.0017  │     93.06 %  ┃      0.0018 │     93.17 %┃
┃          62  ┃      0.0017  │     93.06 %  ┃      0.0018 │     93.29 %┃
┃          63  ┃      0.0016  │     93.52 %  ┃      0.0018 │     93.29 %┃
┃          63  ┃      0.0016  │     93.52 %  ┃      0.0019 │     93.50 %┃
┃          64  ┃      0.0017  │     93.38 %  ┃      0.0019 │     93.50 %┃
┃          64  ┃      0.0017  │     93.38 %  ┃      0.0018 │     93.39 %┃
┃          65  ┃      0.0017  │     93.70 %  ┃      0.0018 │     93.39 %┃
┃          65  ┃      0.0017  │     93.70 %  ┃      0.0019 │     93.52 %┃
┃          66  ┃      0.0017  │     93.62 %  ┃      0.0019 │     93.52 %┃
┃          66  ┃      0.0017  │     93.62 %  ┃      0.0018 │     93.51 %┃
┃          67  ┃      0.0017  │     93.88 %  ┃      0.0018 │     93.51 %┃
┃          67  ┃      0.0017  │     93.88 %  ┃      0.0019 │     93.47 %┃
┃          68  ┃      0.0017  │     93.62 %  ┃      0.0019 │     93.47 %┃
┃          68  ┃      0.0017  │     93.62 %  ┃      0.0019 │     93.63 %┃
┃          69  ┃      0.0018  │     93.32 %  ┃      0.0019 │     93.63 %┃
┃          69  ┃      0.0018  │     93.32 %  ┃      0.0019 │     93.58 %┃
┃          70  ┃      0.0017  │     93.84 %  ┃      0.0019 │     93.58 %┃
┃          70  ┃      0.0017  │     93.84 %  ┃      0.0019 │     93.45 %┃
┃          71  ┃      0.0017  │     93.42 %  ┃      0.0019 │     93.45 %┃
┃          71  ┃      0.0017  │     93.42 %  ┃      0.0019 │     93.53 %┃
┃          72  ┃      0.0018  │     93.74 %  ┃      0.0019 │     93.53 %┃
┃          72  ┃      0.0018  │     93.74 %  ┃      0.0019 │     93.62 %┃
┃          73  ┃      0.0018  │     93.34 %  ┃      0.0019 │     93.62 %┃
┃          73  ┃      0.0018  │     93.34 %  ┃      0.0019 │     93.41 %┃
┃          74  ┃      0.0016  │     94.14 %  ┃      0.0019 │     93.41 %┃
┃          74  ┃      0.0016  │     94.14 %  ┃      0.0019 │     93.72 %┃
┃          75  ┃      0.0017  │     93.44 %  ┃      0.0019 │     93.72 %┃
┃          75  ┃      0.0017  │     93.44 %  ┃      0.0019 │     93.66 %┃
┃          76  ┃      0.0017  │     93.94 %  ┃      0.0019 │     93.66 %┃
┃          76  ┃      0.0017  │     93.94 %  ┃      0.0019 │     93.66 %┃
┃          77  ┃      0.0017  │     93.76 %  ┃      0.0019 │     93.66 %┃
┃          77  ┃      0.0017  │     93.76 %  ┃      0.0020 │     93.41 %┃
┃          78  ┃      0.0018  │     93.80 %  ┃      0.0020 │     93.41 %┃
┃          78  ┃      0.0018  │     93.80 %  ┃      0.0019 │     93.51 %┃
┃          79  ┃      0.0017  │     93.78 %  ┃      0.0019 │     93.51 %┃
┃          79  ┃      0.0017  │     93.78 %  ┃      0.0019 │     93.60 %┃
┃          80  ┃      0.0017  │     93.92 %  ┃      0.0019 │     93.60 %┃
