epoch,loss,accuracy,learning_rate,elapsed,f1_score,precision,recall
0,0.0134,0.3220,1.000e-01,00:07 min,0.3181,0.3168,0.3220
0,0.0134,0.3220,1.000e-01,00:07 min,0.3181,0.3168,0.3220
1,0.0115,0.4465,-,00:01 min,0.4133,0.4983,0.4465
1,0.0097,0.5341,1.000e-01,00:07 min,0.5301,0.5282,0.5341
1,0.0097,0.5341,1.000e-01,00:07 min,0.5301,0.5282,0.5341
2,0.0092,0.5868,-,00:07 min,0.5859,0.6159,0.5868
2,0.0078,0.6281,1.000e-01,00:08 min,0.6268,0.6258,0.6281
2,0.0078,0.6281,1.000e-01,00:08 min,0.6268,0.6258,0.6281
3,0.0086,0.6282,-,00:06 min,0.6110,0.6631,0.6282
3,0.0059,0.7167,2.000e-02,00:08 min,0.7165,0.7163,0.7167
3,0.0059,0.7167,2.000e-02,00:08 min,0.7165,0.7163,0.7167
4,0.0059,0.7361,-,00:00 min,0.7392,0.7520,0.7361
4,0.0053,0.7411,2.000e-02,00:07 min,0.7407,0.7405,0.7411
4,0.0053,0.7411,2.000e-02,00:07 min,0.7407,0.7405,0.7411
5,0.0056,0.7520,-,00:00 min,0.7474,0.7548,0.7520
5,0.0050,0.7567,2.000e-02,00:08 min,0.7563,0.7562,0.7567
5,0.0050,0.7567,2.000e-02,00:08 min,0.7563,0.7562,0.7567
6,0.0055,0.7572,-,00:00 min,0.7586,0.7709,0.7572
6,0.0044,0.7820,4.000e-03,00:08 min,0.7817,0.7816,0.7820
6,0.0044,0.7820,4.000e-03,00:08 min,0.7817,0.7816,0.7820
7,0.0045,0.8007,-,00:00 min,0.7996,0.8005,0.8007
7,0.0043,0.7897,4.000e-03,00:08 min,0.7894,0.7891,0.7897
7,0.0043,0.7897,4.000e-03,00:08 min,0.7894,0.7891,0.7897
8,0.0044,0.8055,-,00:00 min,0.8050,0.8067,0.8055
8,0.0041,0.7963,8.000e-04,00:07 min,0.7961,0.7961,0.7963
8,0.0041,0.7963,8.000e-04,00:07 min,0.7961,0.7961,0.7963
9,0.0043,0.8124,-,00:00 min,0.8119,0.8120,0.8124
9,0.0041,0.7976,8.000e-04,00:07 min,0.7972,0.7970,0.7976
9,0.0041,0.7976,8.000e-04,00:07 min,0.7972,0.7970,0.7976
9,0.0043,0.8115,-,00:00 min,0.8105,0.8102,0.8115
