epoch,loss,accuracy,learning_rate,elapsed,f1_score,precision,recall
0,0.0135,0.3470,1.000e-01,00:06 min,0.3422,0.3410,0.3470
0,0.0135,0.3470,1.000e-01,00:06 min,0.3422,0.3410,0.3470
1,0.0127,0.4262,-,00:00 min,0.4160,0.4721,0.4262
1,0.0101,0.5311,1.000e-01,00:05 min,0.5276,0.5260,0.5311
1,0.0101,0.5311,1.000e-01,00:05 min,0.5276,0.5260,0.5311
2,0.0096,0.5738,-,00:01 min,0.5625,0.5914,0.5738
2,0.0077,0.6517,1.000e-01,00:05 min,0.6505,0.6496,0.6517
2,0.0077,0.6517,1.000e-01,00:05 min,0.6505,0.6496,0.6517
3,0.0099,0.6058,-,00:01 min,0.5868,0.6563,0.6058
3,0.0055,0.7541,2.000e-02,00:05 min,0.7536,0.7532,0.7541
3,0.0055,0.7541,2.000e-02,00:05 min,0.7536,0.7532,0.7541
4,0.0053,0.7657,-,00:00 min,0.7635,0.7658,0.7657
4,0.0050,0.7774,2.000e-02,00:05 min,0.7769,0.7766,0.7774
4,0.0050,0.7774,2.000e-02,00:05 min,0.7769,0.7766,0.7774
5,0.0049,0.7867,-,00:00 min,0.7842,0.7861,0.7867
5,0.0046,0.7917,2.000e-02,00:05 min,0.7913,0.7911,0.7917
5,0.0046,0.7917,2.000e-02,00:05 min,0.7913,0.7911,0.7917
6,0.0050,0.7877,-,00:00 min,0.7877,0.7959,0.7877
6,0.0040,0.8223,4.000e-03,00:05 min,0.8220,0.8219,0.8223
6,0.0040,0.8223,4.000e-03,00:05 min,0.8220,0.8219,0.8223
7,0.0041,0.8269,-,00:00 min,0.8265,0.8267,0.8269
7,0.0038,0.8312,4.000e-03,00:05 min,0.8309,0.8308,0.8312
7,0.0038,0.8312,4.000e-03,00:05 min,0.8309,0.8308,0.8312
8,0.0040,0.8270,-,00:00 min,0.8271,0.8277,0.8270
8,0.0036,0.8401,8.000e-04,00:05 min,0.8399,0.8399,0.8401
8,0.0036,0.8401,8.000e-04,00:05 min,0.8399,0.8399,0.8401
9,0.0040,0.8318,-,00:00 min,0.8311,0.8307,0.8318
9,0.0036,0.8424,8.000e-04,00:05 min,0.8421,0.8420,0.8424
9,0.0036,0.8424,8.000e-04,00:05 min,0.8421,0.8420,0.8424
9,0.0039,0.8330,-,00:00 min,0.8323,0.8318,0.8330
